Country Name,Year,Literacy Rate,,,,,,
IBRD only,2011,87.44999695,,,,,,
"Macao SAR, China",2011,95.63999939,,,,,,
Nepal,2011,59.63000107,,,,,,
Europe & Central Asia (IDA & IBRD countries),2011,98.69999695,,,,,,
Africa Western and Central,2011,52.43999863,,,,,,
Singapore,2011,96.19000244,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),2011,61.00999832,,,,,,
Bulgaria,2011,98.34999847,,,,,,
Jordan,2011,95.90000153,,,,,,
Romania,2011,98.59999847,,,,,,
Sub-Saharan Africa (excluding high income),2011,61,,,,,,
Low & middle income,2011,81.94000244,,,,,,
Europe & Central Asia,2011,98.01999664,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",2011,70.20999908,,,,,,
Tunisia,2011,79.65000153,,,,,,
South Asia,2011,68.69999695,,,,,,
Upper middle income,2011,93.98999786,,,,,,
Middle income,2011,83.81999969,,,,,,
Bangladesh,2011,58.77000046,,,,,,
Fragile and conflict affected situations,2011,64.56999969,,,,,,
Serbia,2011,97.95999908,,,,,,
Turkiye,2011,94.11000061,,,,,,
El Salvador,2011,85.48999786,,,,,,
Ecuador,2011,91.58999634,,,,,,
Senegal,2011,51.81000137,,,,,,
Estonia,2011,99.88999939,,,,,,
Azerbaijan,2011,99.77999878,,,,,,
Africa Eastern and Southern,2011,66.83000183,,,,,,
Marshall Islands,2011,98.26999664,,,,,,
Lower middle income,2011,70.29000092,,,,,,
Benin,2011,44.68812293,,,,,,
Spain,2011,97.77999878,,,,,,
Latin America & Caribbean (excluding high income),2011,92.19000244,,,,,,
Mexico,2011,93.51999664,,,,,,
Italy,2011,98.84999847,,,,,,
Qatar,2011,96.41000366,,,,,,
South Africa,2011,93.09999847,,,,,,
Armenia,2011,99.73999786,,,,,,
Honduras,2011,85.12000275,,,,,,
"Iran, Islamic Rep.",2011,83.51999664,,,,,,
Sub-Saharan Africa,2011,61.00999832,,,,,,
Europe & Central Asia (excluding high income),2011,97.87000275,,,,,,
West Bank and Gaza,2011,95.02999878,,,,,,
Latin America & Caribbean,2011,92.51999664,,,,,,
Mali,2011,30.62000084,,,,,,
Montenegro,2011,98.44000244,,,,,,
Uruguay,2011,98.33999634,,,,,,
Bolivia,2011,92.23000336,,,,,,
Morocco,2011,67.08000183,,,,,,
Malta,2011,93.30999756,,,,,,
Samoa,2011,98.97000122,,,,,,
Afghanistan,2011,31.45000076,,,,,,
Uganda,2012,70.19999695,,,,,,
Iraq,2012,77.19999695,,,,,,
Latin America & Caribbean (excluding high income),2012,92.51999664,,,,,,
Least developed countries: UN classification,2012,58.18000031,,,,,,
Mauritius,2012,91.76999664,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2012,92.69000244,,,,,,
Brazil,2012,91.33999634,,,,,,
"Iran, Islamic Rep.",2012,83.62999725,,,,,,
Latin America & Caribbean,2012,92.83000183,,,,,,
Madagascar,2012,71.56999969,,,,,,
Arab World,2012,75.16999817,,,,,,
Tanzania,2012,78.09999847,,,,,,
Kuwait,2012,95.51000214,,,,,,
India,2012,69.82793004,,,,,,
Bolivia,2012,94.45999908,,,,,,
Azerbaijan,2012,99.77999878,,,,,,
Bhutan,2012,55.31999969,,,,,,
Turkiye,2012,94.91999817,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",2012,71.26000214,,,,,,
Nicaragua,2012,85.6105709,,,,,,
Morocco,2012,69.16000366,,,,,,
Tunisia,2012,80.22000122,,,,,,
Upper middle income,2012,94.26999664,,,,,,
Middle income,2012,84.08000183,,,,,,
"Congo, Dem. Rep.",2012,75.01999664,,,,,,
Niger,2012,30.55999947,,,,,,
Albania,2012,97.25,,,,,,
Bangladesh,2012,57.86000061,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),2012,62.24000168,,,,,,
Jordan,2012,97.88999939,,,,,,
Other small states,2012,82.55999756,,,,,,
Uruguay,2012,98.40000153,,,,,,
